site_id,site_name,region,plan_type,status
SL-1001,Test 01 - Site 1,North,Business-Max,active
SL-1002,Test 02 - Site 2,South+Business-Standard,active
SL-1003,Test 03 - Site 3,East,Business-Standard,active
SL-1004,Test 04 - Site 4,West,Business-Standard,active
SL-1005,Test 05 - Site 5,North,Business-Max,active
SL-1006,Test 06 - Site 6,South,Business-Max,active
SL-1007,Test 07 - Site 7,East,Business-Max,active
SL-1008,Test 08 - Site 8,West,Business-Max,active
SL-1009,Test 09 - Site 9,North,Business-Max,active
SL-1010,Test 10 - Site 10,South,Business-Max,active
SL-1011,Test 11 - Site 11,East,Business-Max,active
SL-1012,Test 12 - Site 12,West,Business-Max,active
SL-1013,Test 13 - Site 13,North,Business-Standard,active
SL-1014,Test 14 - Site 14,South,Business-Standard,active
SL-1015,Test 15 - Site 15,East,Business-Standard,active
SL-1016,Test 16 - Site 16,West,Off-Grid,active
SL-1017,Test 17 - Site 17,North,Business-Max,active
SL-1018,Test 18 - Site 18,South,Business-Max,active
SL-1019,Test 19 - Site 19,East,Business-Standard,active
SL-1020,Test 20 - Site 20,West,Business-Max,active
SL-1021,Test 21 - Site 21,North,Off-Grid,active
