Hanoi date,Hanoi time,Group,Match,Venue,Event duration hours,UK source date/time
2026-06-12,02:00,Group A,Mexico vs South Africa,"Mexico City, Mexico",2.0,"Thursday, June 11, 8pm"
2026-06-12,09:00,Group A,South Korea vs Czech Republic,"Zapopan, Mexico",2.0,"Friday, June 12, 3am"
2026-06-13,02:00,Group B,Canada vs Bosnia & Herzegovina,"Toronto, Canada",2.0,"Friday, June 12, 8pm"
2026-06-13,08:00,Group D,USA vs Paraguay,"Los Angeles, USA",2.0,"Saturday, June 13, 2am"
2026-06-14,02:00,Group B,Qatar vs Switzerland,"Santa Clara, USA",2.0,"Saturday, June 13, 8pm"
2026-06-14,05:00,Group C,Brazil vs Morocco,"New Jersey, USA",2.0,"Saturday, June 13, 11pm"
2026-06-14,08:00,Group C,Haiti vs Scotland,"Foxborough, USA",2.0,"Sunday, June 14, 2am"
2026-06-14,11:00,Group D,Australia vs Turkey,"Vancouver, Canada",2.0,"Sunday, June 14, 5am"
2026-06-15,00:00,Group E,Germany vs Curacao,"Houston, USA",2.0,"Sunday, June 14, 6pm"
2026-06-15,03:00,Group F,Netherlands vs Japan,"Arlington, USA",2.0,"Sunday, June 14, 9pm"
2026-06-15,06:00,Group E,Ivory Coast vs Ecuador,"Philadelphia, USA",2.0,"Monday, June 15, 12am"
2026-06-15,09:00,Group F,Sweden vs Tunisia,"Guadalupe, Mexico",2.0,"Monday, June 15, 3am"
2026-06-15,23:00,Group H,Spain vs Cape Verde,"Atlanta, USA",2.0,"Monday, June 15, 5pm"
2026-06-16,02:00,Group G,Belgium vs Egypt,"Seattle, USA",2.0,"Monday, June 15, 8pm"
2026-06-16,05:00,Group H,Saudi Arabia vs Uruguay,"Miami, USA",2.0,"Monday, June 15, 11pm"
2026-06-16,08:00,Group G,Iran vs New Zealand,"Los Angeles, USA",2.0,"Tuesday, June 16, 2am"
2026-06-17,02:00,Group I,France vs Senegal,"New Jersey, USA",2.0,"Tuesday, June 16, 8pm"
2026-06-17,05:00,Group I,Iraq vs Norway,"Foxborough, USA",2.0,"Tuesday, June 16, 11pm"
2026-06-17,08:00,Group J,Argentina vs Algeria,"Kansas City, USA",2.0,"Wednesday, June 17, 2am"
2026-06-17,11:00,Group J,Austria vs Jordan,"Santa Clara, USA",2.0,"Wednesday, June 17, 5am"
2026-06-18,00:00,Group K,Portugal vs DR Congo,"Houston, USA",2.0,"Wednesday, June 17, 6pm"
2026-06-18,03:00,Group L,England vs Croatia,"Arlington, USA",2.0,"Wednesday, June 17, 9pm"
2026-06-18,06:00,Group L,Ghana vs Panama,"Toronto, Canada",2.0,"Thursday, June 18, 12am"
2026-06-18,09:00,Group K,Uzbekistan vs Colombia,"Mexico City, Mexico",2.0,"Thursday, June 18, 3am"
2026-06-18,23:00,Group A,Czech Republic vs South Africa,"Atlanta, USA",2.0,"Thursday, June 18, 5pm"
2026-06-19,02:00,Group B,Switzerland vs Bosnia & Herzegovina,"Los Angeles, USA",2.0,"Thursday, June 18, 8pm"
2026-06-19,05:00,Group B,Canada vs Qatar,"Vancouver, Canada",2.0,"Thursday, June 18, 11pm"
2026-06-19,08:00,Group A,Mexico vs South Korea,"Zapopan, Mexico",2.0,"Friday, June 19, 2am"
2026-06-20,02:00,Group D,USA vs Australia,"Seattle, USA",2.0,"Friday, June 19, 8pm"
